Date Reported,Holder,pctHeld,Shares,Value,pctChange
2025-03-31,Vanguard Group Inc,0.094399996,1400790809,318231645728,0.0036000002
2025-03-31,Blackrock Inc.,0.076799996,1140202870,259031279655,0.0149
2025-03-31,State Street Corporation,0.0402,596025766,135405129154,0.00090000004
2025-06-30,"Geode Capital Management, LLC",0.0239,354749794,80592055602,0.014099999
2025-03-31,"FMR, LLC",0.0221,328100180,74537796489,-0.0396
2025-03-31,"Berkshire Hathaway, Inc",0.0202,300000000,68153997802,0.0
2025-03-31,Morgan Stanley,0.0163,241221800,54800766757,0.0124
2025-03-31,Price (T.Rowe) Associates Inc,0.0145000005,214703055,48776238462,-0.024600001
2025-03-31,JPMORGAN CHASE & CO,0.0134000005,198745598,45151023497,0.086
2024-12-31,NORGES BANK,0.0126,187160162,42519044232,0.0542
