2025-06-30,2024-06-30,2023-06-30,2022-06-30
-77217840.76294,-100089983.022071,-2850000.0,43754000.0
0.176296,0.182313,0.19,0.131
160603000000.0,133558000000.0,105155000000.0,99905000000.0
-438000000.0,-549000000.0,-15000000.0,334000000.0
-438000000.0,-549000000.0,-15000000.0,334000000.0
101832000000.0,88136000000.0,72361000000.0,72738000000.0
34153000000.0,22287000000.0,13861000000.0,14460000000.0
87831000000.0,74114000000.0,65863000000.0,62650000000.0
160165000000.0,133009000000.0,105140000000.0,100239000000.0
126012000000.0,110722000000.0,91279000000.0,85779000000.0
262000000.0,222000000.0,1026000000.0,31000000.0
2385000000.0,2935000000.0,1968000000.0,2063000000.0
2647000000.0,3157000000.0,2994000000.0,2094000000.0
102192782159.23706,88584910016.97794,72373150000.0,72447754000.0
101832000000.0,88136000000.0,72361000000.0,72738000000.0
153196000000.0,135689000000.0,123392000000.0,114887000000.0
128528000000.0,109433000000.0,88523000000.0,83383000000.0
7465000000.0,7469000000.0,7472000000.0,7540000000.0
7433000000.0,7431000000.0,7446000000.0,7496000000.0
13.64,11.8,9.68,9.65
13.7,11.86,9.72,9.7
101832000000.0,88136000000.0,72361000000.0,72738000000.0
101832000000.0,88136000000.0,72361000000.0,72738000000.0
101832000000.0,88136000000.0,72361000000.0,72738000000.0
101832000000.0,88136000000.0,72361000000.0,72738000000.0
101832000000.0,88136000000.0,72361000000.0,72738000000.0
21795000000.0,19651000000.0,16950000000.0,10978000000.0
123627000000.0,107787000000.0,89311000000.0,83716000000.0
-5163000000.0,-1868000000.0,-238000000.0,302000000.0
-4725000000.0,-1319000000.0,-223000000.0,-32000000.0
-943000000.0,-206000000.0,-30000000.0,-101000000.0
943000000.0,206000000.0,30000000.0,101000000.0
505000000.0,-343000000.0,15000000.0,435000000.0
262000000.0,222000000.0,1026000000.0,31000000.0
2385000000.0,2935000000.0,1968000000.0,2063000000.0
2647000000.0,3157000000.0,2994000000.0,2094000000.0
128528000000.0,109433000000.0,88523000000.0,83383000000.0
65365000000.0,61575000000.0,57529000000.0,52237000000.0
32488000000.0,29510000000.0,27195000000.0,24512000000.0
32877000000.0,32065000000.0,30334000000.0,27725000000.0
25654000000.0,24456000000.0,22759000000.0,21825000000.0
7223000000.0,7609000000.0,7575000000.0,5900000000.0
7223000000.0,7609000000.0,7575000000.0,5900000000.0
193893000000.0,171008000000.0,146052000000.0,135620000000.0
87831000000.0,74114000000.0,65863000000.0,62650000000.0
281724000000.0,245122000000.0,211915000000.0,198270000000.0
281724000000.0,245122000000.0,211915000000.0,198270000000.0
